Date,BTCB-USD
2025-08-23,115295.84375
2025-08-24,113443.609375
2025-08-25,110174.1484375
2025-08-26,111807.53125
2025-08-27,111507.4375
2025-08-28,112480.1875
2025-08-29,108430.4921875
2025-08-30,108753.5859375
2025-08-31,108246.484375
2025-09-01,109072.5390625
2025-09-02,111201.1484375
2025-09-03,111879.3125
2025-09-04,110975.6875
2025-09-05,110738.8671875
2025-09-06,110227.15625
2025-09-07,111250.46875
2025-09-08,112189.7109375
2025-09-09,111508.7734375
2025-09-10,113792.4453125
2025-09-11,115304.8984375
2025-09-12,116101.3828125
2025-09-13,115928.359375
2025-09-14,115555.5703125
2025-09-15,115411.3671875
2025-09-16,116821.8359375
2025-09-17,116502.1640625
2025-09-18,117174.4453125
2025-09-19,115585.0234375
2025-09-20,115703.78125
2025-09-21,115334.9453125
2025-09-22,112721.1015625
2025-09-23,112093.5703125
2025-09-24,113385.734375
2025-09-25,109153.140625
2025-09-26,109008.3984375
